data_date,security_id,d4
20100104,647001,5.9847
20100104,696801,-2.4456
20100104,702901,-4.9255
20100104,1178501,NA
20100104,1323901,-2.0536
20100104,1384501,NA
20100104,1536201,NA
20100104,1604101,-1.3229
20100104,1610801,-3.7759
20100104,2486001,-14.8978
20100104,2664401,-1.8827
20100104,2695001,NA
20100104,2821001,0.9136
20100104,3523901,0.2845
20100104,4843901,-3.1914
20100104,5126301,1.8076
20100104,5299101,NA
20100104,5494301,1.6659
20100104,5498201,-0.0661
20100104,5690901,NA
20100104,5694501,NA
20100104,5749801,NA
20100104,6963101,NA
20100104,7053601,NA
20100104,7783801,-0.0027
20100104,7794701,-1.2169
20100104,7794901,0.4931
20100104,8000101,-1.5359
20100104,8052801,NA
20100104,8208101,1.0907
20100105,1168901,16.8913
20100105,4606301,-8.168
20100106,581101,4.0685
20100106,4130401,7.357
20100106,4834101,4.0144
20100106,7040301,15.1952
20100106,7384301,7.2862
20100106,7459201,9.4088
20100106,33060401,11.1031
20100107,199401,12.1556
20100107,229001,-107.578
20100107,883201,18.4416
20100107,1059901,0.273
20100107,2539201,17.386
20100107,3557001,27.9457
20100107,4765001,13.426
20100107,5692501,-43.4152
20100107,5880001,7.7863
20100107,5980701,-1.7885
20100107,5996301,-5.1858
20100107,6032501,7.3458
20100107,6088601,5.1782
20100107,6847201,3.5187
20100107,6941901,4.9718
20100107,7769401,13.6911
20100107,8057901,0.8246
20100107,8262901,-1.8851
20100108,597901,41.9188
20100108,1168801,-53.4748
20100108,1357501,8.3867
20100108,1674101,0.795
20100108,2819401,-5.5517
20100108,3039001,14.7451
20100108,3058801,11.0163
20100108,4154801,4.9584
20100108,4202701,-6.2178
20100108,4202901,-6.2178
20100108,4388101,15.6336
20100108,5132601,-0.783
20100108,6045001,30.363
20100108,6165901,4.3058
20100108,6842801,0.4953
20100108,7170501,-19.1022
20100108,7376401,3.5501
20100108,7529201,-1.7854
20100108,33172401,13.6316
20100108,1090609401,NA
20100108,1113653301,11.5761
20100111,156201,19.4534
20100111,3130501,2.7034
20100111,4536601,-9.4519
20100111,5478201,-2.0951
20100111,5706001,11.9541
20100111,5815501,-1.812
20100111,7001001,-14.0903
20100111,7422201,3.8063
20100112,288501,-3.1169
20100112,682501,-1.2115
20100112,716301,-9.5977
20100112,1418701,12.3592
20100112,4507101,-15.7191
20100112,8050701,16.4521
20100112,8434501,-1.7964
20100112,1078236501,NA
20100113,591901,9.4018
20100113,2349801,NA
20100113,2499401,-8.0685
20100113,2698501,-0.9351
20100113,2856701,9.7509
20100113,3114701,-15.2245
20100113,3601301,28.7394
20100113,3931701,-6.1852
20100113,4260601,24.4369
20100113,5113501,-9.1341
20100113,7353501,4.7579
20100113,8519301,-3.3229
20100114,569401,-307.861
20100114,1285001,-39.5988
20100114,1471701,10.9467
20100114,1741301,3.4407
20100114,3834001,-13.8698
20100114,6884301,11.5339
20100114,6989001,15.8372
20100114,7459401,1.1941
20100115,93201,16.0837
20100115,776301,-52.116
20100115,826301,1.8635
20100115,830901,1.0366
20100115,932101,-11.3201
20100115,1141901,3.9533
20100115,1579901,1.3583
20100115,2317301,15.2897
20100115,3641101,11.0028
20100115,3707101,-14.4561
20100115,4426201,-25.226
20100115,5629801,-13.6822
20100115,5964401,1.6804
20100115,6942101,11.3733
20100115,6959201,9.0151
20100115,7448901,-11.9954
20100115,7458201,7.6419
20100115,8470201,5.2992
20100115,18137801,NA
20100119,1259401,17.4558
20100119,2732201,1.3368
20100119,3795301,0.7638
20100119,7310301,1.9759
20100119,32294301,-5.2321
20100120,805601,1.1754
20100120,1146601,8.5454
20100120,1328101,0.5594
20100120,1436001,-0.411
20100120,1772901,5.2817
20100120,2552401,22.4809
20100120,2688501,-1.4815
20100120,2695501,-3.7511
20100120,2847801,10.3416
20100120,2857601,0.5444
20100120,3133501,0.2498
20100120,3223201,1.2316
20100120,3679901,15.5674
20100120,4166101,-4.1242
20100120,4531901,-13.0611
20100120,4582701,-2.2652
20100120,5228101,1.1195
20100120,5447201,5.2462
20100120,5520301,41.7533
20100120,5593201,-1.3132
20100120,5958001,0.6628
20100120,6849801,2.0078
20100120,7304401,0.6765
20100120,7353401,1.3501
20100120,7402101,6.3293
20100120,7402901,9.3807
20100120,7511501,-0.6908
20100120,7695301,1.2045
20100120,7713001,8.4616
20100120,8086801,0.6573
20100121,211701,20.0815
20100121,608301,5.001
20100121,658501,1.8012
20100121,815601,0.2154
20100121,826501,-0.9819
20100121,1043801,6.754
20100121,1493501,38.1844
20100121,1494801,-10.239
20100121,1610501,1.1806
20100121,1751001,-0.4405
20100121,2297301,8.569
20100121,2575801,13.0221
20100121,2661201,0.0885
20100121,2670201,-3.9067
20100121,2719101,1.3239
20100121,3418101,1.5277
20100121,3544501,15.4961
20100121,4022601,-1.8337
20100121,4083201,-0.4909
20100121,4323001,0.7711
20100121,4471901,NA
20100121,4792201,0.1303
20100121,4911401,33.5167
20100121,5018501,0.1455
20100121,5103201,0.348
20100121,5114001,1.5289
20100121,5370201,-3.2007
20100121,5381001,-0.7614
20100121,5487101,0.8053
20100121,5633601,4.9978
20100121,5771301,8.8559
20100121,5788101,1.2172
20100121,5812201,0.5907
20100121,6144101,0.4997
20100121,7003601,7.1628
20100121,7219901,13.7019
20100121,7245701,1.523
20100121,7613601,21.0425
20100121,7735001,0.9622
20100121,8118301,1.4098
20100121,8230401,17.263
20100121,8244901,9.7247
