data_date,security_id,d5
20100104,647001,0.0377125630987426
20100104,696801,NA
20100104,702901,NA
20100104,1178501,NA
20100104,1323901,NA
20100104,1384501,NA
20100104,1536201,NA
20100104,1604101,NA
20100104,1610801,NA
20100104,2486001,-0.0848789822301607
20100104,2664401,NA
20100104,2695001,NA
20100104,2821001,NA
20100104,3523901,NA
20100104,4843901,NA
20100104,5126301,NA
20100104,5299101,NA
20100104,5494301,NA
20100104,5498201,NA
20100104,5690901,NA
20100104,5694501,NA
20100104,5749801,NA
20100104,6963101,NA
20100104,7053601,NA
20100104,7783801,NA
20100104,7794701,NA
20100104,7794901,NA
20100104,8000101,NA
20100104,8052801,NA
20100104,8208101,NA
20100105,1168901,0.0110998339507877
20100105,4606301,-0.00542195573132615
20100106,581101,0.0169020349160458
20100106,4130401,0.0237966995959854
20100106,4834101,0.00869315886193908
20100106,7040301,0.0185619385907989
20100106,7384301,0.040072630065821
20100106,7459201,0.0274363547050532
20100106,33060401,0.0224435041513629
20100107,199401,0.0274234775795409
20100107,229001,-0.29968132568515
20100107,883201,0.0283159344935122
20100107,1059901,NA
20100107,2539201,0.0262792664780066
20100107,3557001,0.0270650542854621
20100107,4765001,-0.000832814650524673
20100107,5692501,-0.0766431678281977
20100107,5880001,0.0301460896665909
20100107,5980701,-0.000663589459321167
20100107,5996301,0.00285800931839694
20100107,6032501,0.0142306933370362
20100107,6088601,0.00700870237514981
20100107,6847201,0.0727365999768323
20100107,6941901,-0.497862493379404
20100107,7769401,0.0427172873619087
20100107,8057901,0.0264839414831007
20100107,8262901,0.0178435917085662
20100108,597901,0.0480950842700066
20100108,1168801,-0.0240374199901526
20100108,1357501,0.0289581728757437
20100108,1674101,0.0171613627090983
20100108,2819401,0.010621457001568
20100108,3039001,0.024277839512593
20100108,3058801,0.0201112266928737
20100108,4154801,0.0142476195417544
20100108,4202701,-0.0599971673097048
20100108,4202901,-0.0599971673097048
20100108,4388101,0.0179139587875724
20100108,5132601,0.0241839458016834
20100108,6045001,0.0240277304694544
20100108,6165901,0.00581627524468923
20100108,6842801,0.00666566128789021
20100108,7170501,0.0317752604736497
20100108,7376401,0.199481725004835
